"Y" "X1" "X2" "X3" "X4" "X5"
4.5 9.44 10.9 297 230 263
4.8 9.36 18.3 165 127 158
5.5 10.9 10.6 593 446 211
4.5 9.31 30.2 170 124 173
4.8 9.84 12 600 468 497
5 11.03 19.7 318 270 335
2.9 10.8 1.6 130 69 62
2.7 8.34 8.1 107 82 54
5.7 11.2 34.5 180 134 151
4.2 9 14.6 72 61 38
2.6 9.76 6.9 64 47 55
1.4 7.14 4.1 115 90 19
4.9 10.23 9.9 752 595 446
4.2 9.06 6.9 134 103 125
4.2 8.88 10.1 305 238 197
3.8 8.66 6.8 246 178 177
3.1 9.41 20.6 29 20 22
4.7 8.77 5.2 143 85 87
5.3 8.15 12.3 99 55 71
5.3 9.77 15.7 154 123 148
5.8 11.41 23.8 424 359 335
2.8 9.97 16.5 90 69 42
2.7 7.14 13.1 92 40 50
5.5 8.37 15.1 115 96 88
5.4 7.93 7.5 68 42 49
3 11.2 7 130 95 56
4.4 9.66 9.9 83 66 95
5.4 11.18 60.5 640 399 360
6.2 10.15 16.4 568 452 371
4.1 10.47 5.7 196 168 153
7.7 12.78 46 322 252 349
4.5 10.05 36.7 184 144 151
4.8 10.24 36.3 195 163 170
4.5 9.61 6.9 487 404 220
2.3 7.95 4.6 163 128 93
5.1 10.3 27.8 175 113 73
2.9 8.86 9.5 100 65 53
6.6 13.95 15.6 356 308 182
3.7 7.58 20.8 97 59 79
5.2 9.84 17.7 210 200 239
4.3 9.42 24.8 508 421 528
4.2 7.39 14.6 72 38 67
1.3 8.92 2.2 56 40 14
3.5 8.03 24.3 97 65 55
3.1 8.63 8.4 76 39 44
4.9 11.07 28.5 768 591 656
4.3 8.3 6.8 167 105 59
5.7 11.8 9.1 571 441 469
4.1 9.35 15.9 833 547 519
5.6 11.48 20.3 252 207 251
5 7.78 20.9 489 391 329
6.3 8.84 29.6 85 59 66
6.5 19.56 17.2 306 273 172
2 7.08 12.3 87 52 57
4.3 9.23 11.6 620 413 420
4.4 7.7 12.2 129 85 136
4.6 7.84 7.1 60 50 45
5.1 9.76 21.9 150 147 106
5.6 8.95 18.9 147 53 148
5.3 11.77 17.3 196 164 165
4.4 8.88 14.1 237 165 182
3.7 7.14 2.6 70 37 35
7.6 11.41 16.6 535 330 273
4.6 9.68 16.7 186 151 129
5.8 9.5 42 98 68 46
6.4 11.62 25.5 133 113 101
4.4 11.65 18.6 248 217 189
5 9.78 17.6 270 240 198
4.5 11.46 15.6 191 153 132
4.6 10.16 8.4 831 581 629
2.9 7.91 11.9 477 349 188
4 9.2 17.5 298 244 236
